Lvup_char,Lvup_ingrd_C1,Lvup_ingrd_Itm,Lvup_ingrd_Itm_count,Lvup_info
13040502,13030502,7105,585,지안 캐릭터 3등급 4레벨 = 경험치 585 필요
13050502,13040502,7105,960,지안 캐릭터 3등급 5레벨 = 경험치 960 필요
13060502,13050502,7105,1425,지안 캐릭터 3등급 6레벨 = 경험치 1425 필요
13070502,13060502,7105,1980,지안 캐릭터 3등급 7레벨 = 경험치 1980 필요
13080502,13070502,7105,2625,지안 캐릭터 3등급 8레벨 = 경험치 2625 필요
13090502,13080502,7105,3360,지안 캐릭터 3등급 9레벨 = 경험치 3360 필요
13100502,13090502,7105,4185,지안 캐릭터 3등급 10레벨 = 경험치 4185 필요
14020502,14010502,7105,105,지안 캐릭터 4등급 2레벨 = 경험치 105 필요
14030502,14020502,7105,300,지안 캐릭터 4등급 3레벨 = 경험치 300 필요
14040502,14030502,7105,585,지안 캐릭터 4등급 4레벨 = 경험치 585 필요
14050502,14040502,7105,960,지안 캐릭터 4등급 5레벨 = 경험치 960 필요
14060502,14050502,7105,1425,지안 캐릭터 4등급 6레벨 = 경험치 1425 필요
14070502,14060502,7105,1980,지안 캐릭터 4등급 7레벨 = 경험치 1980 필요
14080502,14070502,7105,2625,지안 캐릭터 4등급 8레벨 = 경험치 2625 필요
14090502,14080502,7105,3360,지안 캐릭터 4등급 9레벨 = 경험치 3360 필요
14100502,14090502,7105,4185,지안 캐릭터 4등급 10레벨 = 경험치 4185 필요
11020403,11010403,7105,105,리아 캐릭터 1등급 2레벨 = 경험치 105 필요
11030403,11020403,7105,300,리아 캐릭터 1등급 3레벨 = 경험치 300 필요
11040403,11030403,7105,585,리아 캐릭터 1등급 4레벨 = 경험치 585 필요
11050403,11040403,7105,960,리아 캐릭터 1등급 5레벨 = 경험치 960 필요
11060403,11050403,7105,1425,리아 캐릭터 1등급 6레벨 = 경험치 1425 필요
11070403,11060403,7105,1980,리아 캐릭터 1등급 7레벨 = 경험치 1980 필요
11080403,11070403,7105,2625,리아 캐릭터 1등급 8레벨 = 경험치 2625 필요
11090403,11080403,7105,3360,리아 캐릭터 1등급 9레벨 = 경험치 3360 필요
11100403,11090403,7105,4185,리아 캐릭터 1등급 10레벨 = 경험치 4185 필요
12020403,12010403,7105,105,리아 캐릭터 2등급 2레벨 = 경험치 105 필요
12030403,12020403,7105,300,리아 캐릭터 2등급 3레벨 = 경험치 300 필요
12040403,12030403,7105,585,리아 캐릭터 2등급 4레벨 = 경험치 585 필요
12050403,12040403,7105,960,리아 캐릭터 2등급 5레벨 = 경험치 960 필요
12060403,12050403,7105,1425,리아 캐릭터 2등급 6레벨 = 경험치 1425 필요
12070403,12060403,7105,1980,리아 캐릭터 2등급 7레벨 = 경험치 1980 필요
12080403,12070403,7105,2625,리아 캐릭터 2등급 8레벨 = 경험치 2625 필요
12090403,12080403,7105,3360,리아 캐릭터 2등급 9레벨 = 경험치 3360 필요
12100403,12090403,7105,4185,리아 캐릭터 2등급 10레벨 = 경험치 4185 필요
13020403,13010403,7105,105,리아 캐릭터 3등급 2레벨 = 경험치 105 필요
13030403,13020403,7105,300,리아 캐릭터 3등급 3레벨 = 경험치 300 필요
13040403,13030403,7105,585,리아 캐릭터 3등급 4레벨 = 경험치 585 필요
13050403,13040403,7105,960,리아 캐릭터 3등급 5레벨 = 경험치 960 필요
13060403,13050403,7105,1425,리아 캐릭터 3등급 6레벨 = 경험치 1425 필요
13070403,13060403,7105,1980,리아 캐릭터 3등급 7레벨 = 경험치 1980 필요
13080403,13070403,7105,2625,리아 캐릭터 3등급 8레벨 = 경험치 2625 필요
13090403,13080403,7105,3360,리아 캐릭터 3등급 9레벨 = 경험치 3360 필요
13100403,13090403,7105,4185,리아 캐릭터 3등급 10레벨 = 경험치 4185 필요
14020403,14010403,7105,105,리아 캐릭터 4등급 2레벨 = 경험치 105 필요
14030403,14020403,7105,300,리아 캐릭터 4등급 3레벨 = 경험치 300 필요
14040403,14030403,7105,585,리아 캐릭터 4등급 4레벨 = 경험치 585 필요
14050403,14040403,7105,960,리아 캐릭터 4등급 5레벨 = 경험치 960 필요
14060403,14050403,7105,1425,리아 캐릭터 4등급 6레벨 = 경험치 1425 필요
14070403,14060403,7105,1980,리아 캐릭터 4등급 7레벨 = 경험치 1980 필요
14080403,14070403,7105,2625,리아 캐릭터 4등급 8레벨 = 경험치 2625 필요
14090403,14080403,7105,3360,리아 캐릭터 4등급 9레벨 = 경험치 3360 필요
14100403,14090403,7105,4185,리아 캐릭터 4등급 10레벨 = 경험치 4185 필요
11020504,11010504,7105,105,세라 캐릭터 1등급 2레벨 = 경험치 105 필요
11030504,11020504,7105,300,세라 캐릭터 1등급 3레벨 = 경험치 300 필요
11040504,11030504,7105,585,세라 캐릭터 1등급 4레벨 = 경험치 585 필요
11050504,11040504,7105,960,세라 캐릭터 1등급 5레벨 = 경험치 960 필요
11060504,11050504,7105,1425,세라 캐릭터 1등급 6레벨 = 경험치 1425 필요
11070504,11060504,7105,1980,세라 캐릭터 1등급 7레벨 = 경험치 1980 필요
11080504,11070504,7105,2625,세라 캐릭터 1등급 8레벨 = 경험치 2625 필요
11090504,11080504,7105,3360,세라 캐릭터 1등급 9레벨 = 경험치 3360 필요
11100504,11090504,7105,4185,세라 캐릭터 1등급 10레벨 = 경험치 4185 필요
12020504,12010504,7105,105,세라 캐릭터 2등급 2레벨 = 경험치 105 필요
12030504,12020504,7105,300,세라 캐릭터 2등급 3레벨 = 경험치 300 필요
12040504,12030504,7105,585,세라 캐릭터 2등급 4레벨 = 경험치 585 필요
12050504,12040504,7105,960,세라 캐릭터 2등급 5레벨 = 경험치 960 필요
12060504,12050504,7105,1425,세라 캐릭터 2등급 6레벨 = 경험치 1425 필요
12070504,12060504,7105,1980,세라 캐릭터 2등급 7레벨 = 경험치 1980 필요
12080504,12070504,7105,2625,세라 캐릭터 2등급 8레벨 = 경험치 2625 필요
12090504,12080504,7105,3360,세라 캐릭터 2등급 9레벨 = 경험치 3360 필요
12100504,12090504,7105,4185,세라 캐릭터 2등급 10레벨 = 경험치 4185 필요
13020504,13010504,7105,105,세라 캐릭터 3등급 2레벨 = 경험치 105 필요
13030504,13020504,7105,300,세라 캐릭터 3등급 3레벨 = 경험치 300 필요
13040504,13030504,7105,585,세라 캐릭터 3등급 4레벨 = 경험치 585 필요
13050504,13040504,7105,960,세라 캐릭터 3등급 5레벨 = 경험치 960 필요
13060504,13050504,7105,1425,세라 캐릭터 3등급 6레벨 = 경험치 1425 필요
13070504,13060504,7105,1980,세라 캐릭터 3등급 7레벨 = 경험치 1980 필요
13080504,13070504,7105,2625,세라 캐릭터 3등급 8레벨 = 경험치 2625 필요
13090504,13080504,7105,3360,세라 캐릭터 3등급 9레벨 = 경험치 3360 필요
13100504,13090504,7105,4185,세라 캐릭터 3등급 10레벨 = 경험치 4185 필요
14020504,14010504,7105,105,세라 캐릭터 4등급 2레벨 = 경험치 105 필요
14030504,14020504,7105,300,세라 캐릭터 4등급 3레벨 = 경험치 300 필요
14040504,14030504,7105,585,세라 캐릭터 4등급 4레벨 = 경험치 585 필요
14050504,14040504,7105,960,세라 캐릭터 4등급 5레벨 = 경험치 960 필요
14060504,14050504,7105,1425,세라 캐릭터 4등급 6레벨 = 경험치 1425 필요
14070504,14060504,7105,1980,세라 캐릭터 4등급 7레벨 = 경험치 1980 필요
14080504,14070504,7105,2625,세라 캐릭터 4등급 8레벨 = 경험치 2625 필요
14090504,14080504,7105,3360,세라 캐릭터 4등급 9레벨 = 경험치 3360 필요
14100504,14090504,7105,4185,세라 캐릭터 4등급 10레벨 = 경험치 4185 필요
